lrmoo:F1,rdaw:P10088,rdaw:P10004,rdaw:P10451,rdaw:P10417,rdaw:P10539,rdaw:P10442,rdaw:P10427,rdaw:P10418,rdaw:P10422,rdaw:P10516,rdaw:P10452,rdaw:P10436,rdaw:P10219,rdaw:P10218,owl:sameAs,lrmoo:R68i,lrmoo:R68,miro:evokes,lrmoo:R3
giuoco-marca-stella-w,Il Gioco dell'Oca Marca Stella,https://iconclass.org/43C531,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1548611,gdo-w,,,giuoco-marca-stella-e
giuoco-baruchello-w,Il Giuoco dell'Oca di Edoardo Sanguineti,https://vocab.getty.edu/aat/300033963,gianfranco-baruchello,,,,,,,,,,1967,,,,gdo-w,,giuoco-baruchello-e
just-what-w,Just what is it that makes today's homes so appealing?,https://vocab.getty.edu/aat/300033963,richard-hamilton,,,,,,,,,,1956,,https://www.wikidata.org/wiki/Q3190307,,,,just-what-e
young-romance-w,Young Romance,http://id.loc.gov/authorities/genreForms/gf2014026515,,joe-simon,,,,,,,,,1947,,https://www.wikidata.org/wiki/Q3572861,,,,young-romance-e
young-romance-w,,,,jack-kirby,,,,,,,,,,,,,,,
vak-vak-w,The Vak-Vak tree,http://vocab.getty.edu/aat/300015578,,,,,,,,,,,,,,,,,vak-vak-e
symbols-transformation-w,Symbols of Transformation,http://id.loc.gov/authorities/genreForms/gf2014026074,,,,,,,,,,carl-gustav-jung,,,https://id.oclc.org/worldcat/entity/E39PCGgM4td7W4Tr3RX7C9PbBP,,,,simboli-trasformazione-e
marilyn-photo-w,"Rooney, Monroe and Anthony",http://vocab.getty.edu/aat/300134989,,,pictorial-parade,,,,,,,,1952,hollywood,,,,,marilyn-photo-e
marilyn-song-w,Marilyn,http://id.worldcat.org/fast/887553,,,,ray-anthony,,,,,,,,united-states,,,,,marilyn-song-e
cassa-sistina-w,Cassa Sistina,http://vocab.getty.edu/aat/300047090,,,,,mario-ceroli,,,,,,1966,,,,,vampyr-w,cassa-sistina-e
vampyr-w,Vampyr,http://id.loc.gov/authorities/genreForms/gf2011026321,,,,,,carl-theodor-dreyer,carl-theodor-dreyer,,,,,france,https://www.wikidata.org/wiki/Q304923,,,,vampyr-e
vampyr-w,,,,,,,,,,,,,,germany,,,,,
occhio-degli-occhi-w,L'occhio degli occhi,http://vocab.getty.edu/aat/300404586,carol-rama,,,,,,,,,,1967,,,,,,occhio-degli-occhi-e
lady-from-shanghai-w,The Lady From Shanghai,http://id.loc.gov/authorities/genreForms/gf2011026250,,,,,,orson-welles,,columbia-pictures,,,,united-states,https://www.wikidata.org/wiki/Q1214303,,,,lady-from-shanghai-e
go-for-your-money-w,Go for your money,http://id.loc.gov/authorities/genreForms/gf2011026049,magdalo-mussio,,,,,,,,,,,,,,,,go-for-your-money-e
